CSubType,NumHouse,AvgSzHouse,AvgAge,CMainType,DemCatholic,DemProtestant,DemOthReligion,DemNoReligion,DemMarried,DemCohabitation,DemOtherRelation,DemSingles,DemNoChild,DemWithChild,DemHiLeEdu,DemMiLeEdu,DemLoLeEdu,DemHiStatus,DemEntrepreneur,DemFarmer,DemMidManager,DemSkilledLab,DemUnskilledLab,DemSocClassA,DemSocClassB1,DemSocClassB2,DemSocClassC,DemSocClassD,DemRenter,DemHomeOwner,Dem1Car,Dem2Car,Dem0Car,DemPubHthInsur,DemPrivHthInsur,DemLowestInc,DemLowInc,DemMidInc,DemHighInc,DemHighestInc,DemAvgIncome,DemPurchPowerC,ContrPrivIns,ContrPrivInsFirm,ContrPrivInsAgr,ContrCarPol,ContrDeVanPol,ContrMotPol,ContrLorPol,ContrTrailPol,ContrTractPol,ContrAgrMacPol,ContrMopPol,ContrLifePol,ContrPrivAccPol,ContrFamAccPol,ContrDisPol,ContrFirePol,ContrSurfPol,ContrBoatPol,ContrBicPol,ContrProPol,ContrSSPol,NumPrivIns,NumPrivInsFirm,NumPrivInsAgr,NumCarPol,NumDeVanPol,NumMotPol,NumLorPol,NumTrailPol,NumTractPol,NumAgrMacPol,NumMopPol,NumLifePol,NumPrivAccPol,NumFamAccPol,NumDisPol,NumFirePol,NumSurfPol,NumBoatPol,NumBicPol,NumProPol,NumSSPol,MoHoPol
37,1,2,4.496714153011233,8,1,4,1,4,6,2,2,0,4,5,0,5,4,0,0,0,5,0,4,0,2,3,5,0,2,7,6,1,2,6,3,2,0,5,2,0,6.0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,1,2,3.8617356988288156,8,0,4,2,4,3,2,4,4,4,2,0,5,4,0,0,0,7,0,2,0,4,0,4,0,7,2,7,0,2,9,0,4,5,0,2,0,3.5999999999999996,4,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,1,3,5.6476885381006925,3,2,3,2,4,5,2,2,2,3,4,3,4,2,4,0,0,3,1,2,3,2,1,4,0,5,4,9,0,0,7,2,1,5,3,0,0,4.8,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,1,4,5.523029856408026,10,1,4,1,4,7,1,2,2,4,4,5,4,0,0,2,2,0,0,0,5,0,0,0,0,4,5,6,2,1,5,4,0,0,8,0,0,7.199999999999999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,1,2,2.765846625276664,5,0,5,0,5,2,2,3,3,5,2,0,5,4,2,0,0,4,2,2,2,2,2,4,2,9,0,5,3,3,9,0,5,2,3,0,0,3.5999999999999996,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,3,3.7658630430508193,9,2,2,0,5,7,2,0,0,3,6,0,4,5,0,0,0,4,1,5,0,1,4,5,0,6,3,8,0,1,9,0,4,3,3,0,0,3.5999999999999996,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,2,6.5792128155073915,8,0,7,0,2,10,2,0,0,5,4,0,3,6,2,0,0,2,5,2,2,1,2,5,2,0,9,4,4,2,6,3,2,5,3,0,0,3.5999999999999996,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,2,6.7674347291529084,8,0,1,3,6,6,2,3,3,3,4,0,1,8,8,1,0,1,6,1,1,1,2,8,1,9,0,6,2,3,7,2,7,2,1,0,0,2.4,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,3,4.530525614065048,3,2,5,0,3,7,0,2,2,2,6,0,4,5,2,0,0,3,3,3,1,2,1,4,2,0,9,6,1,2,6,3,2,3,3,1,0,4.8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,1,4,5.542560043585965,3,1,4,1,3,6,1,2,0,3,6,4,3,3,0,0,0,7,0,0,3,0,6,0,0,0,9,6,2,1,5,4,0,3,2,2,0,7.199999999999999,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
